"heat-flux-rfile"
"Iteration" "heat-flux"
("Iteration" "heat-flux")
1 62217.83944440803
2 48130.8281152619
3 38250.38378438503
4 31232.28443207653
5 26122.4121843399
6 22305.772279504
7 19410.00554327972
8 17118.43445138579
9 15264.01790213963
10 13721.85569427102
11 12420.54800418717
12 11301.83586683985
13 10323.841793714
14 9458.556081493993
15 8685.208544646141
16 7985.250912669339
17 7347.98658365635
18 6762.427173230599
19 6222.48974330018
20 5721.966990467836
21 5256.417578125197
22 4822.382548673126
23 4417.133562446243
24 4038.600637815357
25 3684.729142917639
26 3354.48416427869
27 3046.545884383031
28 2759.850818653099
29 2493.564260250369
30 2246.856172992975
31 2018.785297780894
32 1808.612585652349
33 1615.541712887694
34 1438.762778034472
35 1277.4517515671
36 1130.770232481555
37 997.8659213749361
38 877.8798061757298
39 769.9414925132824
40 673.2178928072008
41 586.835626793023
42 509.9839677806522
43 441.8549918245444
44 381.6751871744837
45 328.7061780857384
46 282.2481745544937
47 241.6427873886514
48 206.2749253144448
49 175.5738100337785
50 149.013194459747
51 126.1108819932579
52 106.4276538726554
53 89.56571381915273
54 75.16675149238836
55 62.90972199622956
56 52.50843015602368
57 43.70899788503812
58 36.28728221346501
59 30.04630073602493
60 24.81371077894983
61 20.43937884736806
62 16.79306803071813
63 13.76226316617249
